Data_Hora,Evento,Especialidade
2026-02-20 12:21:22,added,DERMATOLOGIA
2026-02-20 12:21:22,added,PRE NATAL
2026-02-20 12:21:22,added,FISIOTERAPIA - ALUNOS E DEP. FUNC.
2026-02-20 12:21:22,added,CIRÚRGICA
2026-02-20 12:21:22,added,BUCO
2026-02-20 12:21:22,removed,FISIOTERAPIA - COMUNIDADE BUTANTÃ
2026-02-21 01:29:31,added,GINECOLOGIA
2026-02-23 01:15:04,added,OTORRINO
2026-02-23 04:19:55,removed,PRE NATAL
2026-02-23 04:19:55,removed,GINECOLOGIA
2026-02-23 04:19:55,removed,FISIOTERAPIA - ALUNOS E DEP. FUNC.
2026-02-23 04:19:55,removed,CIRÚRGICA
2026-02-23 04:19:55,removed,BUCO
2026-02-23 04:19:55,removed,OTORRINO
2026-02-23 04:19:55,removed,DERMATOLOGIA
2026-02-23 07:36:23,added,PRE NATAL
2026-02-23 07:36:23,added,GINECOLOGIA
2026-02-23 07:36:24,added,FISIOTERAPIA - ALUNOS E DEP. FUNC.
2026-02-23 07:36:24,added,CIRÚRGICA
2026-02-23 07:36:24,added,BUCO
2026-02-23 07:36:24,added,OTORRINO
2026-02-23 07:36:24,added,DERMATOLOGIA
2026-02-26 10:17:43,added,OFTALMOLOGIA
2026-02-26 10:17:43,removed,OTORRINO
2026-02-26 13:18:06,removed,GINECOLOGIA
2026-02-26 13:18:06,removed,CIRÚRGICA
2026-02-26 13:18:06,removed,OFTALMOLOGIA
2026-02-26 13:18:06,removed,DERMATOLOGIA
2026-02-26 13:18:06,removed,FISIOTERAPIA - ALUNOS E DEP. FUNC.
2026-02-26 13:18:06,removed,BUCO
2026-02-26 13:18:06,removed,PRE NATAL
2026-02-26 18:12:25,added,GINECOLOGIA
2026-02-26 18:12:25,added,CIRÚRGICA
2026-02-26 18:12:25,added,OFTALMOLOGIA
2026-02-26 18:12:25,added,DERMATOLOGIA
2026-02-26 18:12:25,added,FISIOTERAPIA - ALUNOS E DEP. FUNC.
2026-02-26 18:12:25,added,BUCO
2026-02-26 18:12:25,added,PRE NATAL
2026-02-26 19:59:59,removed,DERMATOLOGIA
2026-02-27 09:44:05,removed,GINECOLOGIA
2026-03-02 01:39:47,added,DERMATOLOGIA
2026-03-02 01:39:47,added,GINECOLOGIA
2026-03-04 09:37:00,removed,OFTALMOLOGIA
2026-03-05 09:16:26,removed,GINECOLOGIA
2026-03-06 16:01:28,added,GINECOLOGIA
2026-03-06 17:12:46,removed,GINECOLOGIA
2026-03-09 11:51:45,removed,DERMATOLOGIA
